fitness,finished,diversity,individual
14,True,0,"(2, 1, 1, 1, 1, 2, 2, 1, 1, 2, 2, 2, 2, 1)"
9,False,2,"(1, 1, 1, 2, 2, 2, 2, 2, 2)"
14,True,0,"(1, 1, 1, 1, 2, 2, 2, 1, 1, 2, 2, 2, 1, 2)"
11,False,2,"(1, 1, 1, 2, 2, 1, 2, 1, 1, 2, 2)"
10,False,0,"(1, 1, 1, 2, 2, 1, 1, 1, 1)"
14,True,1,"(1, 2, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 2, 1)"
14,True,0,"(2, 1, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 1)"
11,False,2,"(1, 1, 2, 1, 2, 2, 2, 2, 1, 2, 2)"
11,False,0,"(1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 2)"
10,False,0,"(1, 1, 1, 1, 2, 2, 1, 1, 1)"
11,False,1,"(1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 1)"
14,True,0,"(1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 2)"
14,True,0,"(1, 1, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 1)"
9,False,0,"(1, 2, 1, 1, 2, 2, 1, 2, 2)"
14,True,1,"(1, 1, 2, 1, 2, 1, 1, 1, 2, 2, 1, 2, 2, 2)"
14,True,0,"(1, 1, 2, 1, 2, 2, 1, 2, 2, 2, 1, 2, 1, 1)"
12,False,1,"(1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2)"
8,False,0,"(1, 1, 2, 1, 1, 2, 2, 1)"
14,True,1,"(1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 2, 2, 2, 2)"
8,False,0,"(1, 1, 1, 1, 2, 2, 1, 2)"
9,False,0,"(1, 2, 1, 1, 2, 2, 2, 2, 2)"
12,False,0,"(1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2)"
14,True,0,"(1, 1, 1, 2, 2, 1, 2, 1, 1, 2, 1, 2, 2, 2)"
14,True,0,"(1, 1, 2, 1, 2, 2, 1, 2, 2, 2, 1, 1, 2, 1)"
14,True,1,"(1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 2, 2, 2, 1)"
11,False,0,"(1, 1, 1, 2, 1, 2, 1, 1, 2, 2, 2)"
14,True,2,"(1, 1, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 1)"
13,False,1,"(1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2)"
7,False,3,"(1, 1, 1, 1, 1, 1, 2)"
14,True,1,"(1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2)"
