fitness,finished,diversity,individual
14,True,1,"(1, 1, 1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 2, 1)"
8,False,0,"(1, 2, 1, 1, 1, 2, 2, 2)"
14,True,1,"(1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2)"
14,True,1,"(1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 2, 2)"
14,True,0,"(1, 1, 2, 1, 2, 2, 2, 2, 1, 2, 2, 1, 1, 1)"
14,True,0,"(1, 2, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 2, 1)"
14,True,2,"(2, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 1, 1, 1)"
14,True,0,"(1, 1, 1, 2, 2, 2, 2, 2, 1, 2, 1, 2, 1, 1)"
14,True,1,"(1, 1, 1, 2, 1, 2, 1, 1, 2, 2, 2, 2, 2, 1)"
9,False,0,"(1, 1, 2, 1, 2, 2, 2, 2, 2)"
14,True,0,"(1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 1, 2, 1, 1)"
13,False,1,"(1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 2, 3, 1)"
14,True,3,"(1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 1)"
14,True,0,"(1, 1, 2, 1, 2, 1, 2, 1, 1, 2, 2, 1, 2, 2)"
13,False,1,"(1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2)"
9,False,0,"(1, 1, 2, 1, 2, 2, 2, 2, 2)"
14,True,0,"(1, 1, 2, 1, 2, 1, 2, 2, 2, 2, 1, 2, 1, 1)"
14,True,0,"(1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2)"
13,False,0,"(1, 1, 1, 2, 2, 2, 2, 2, 1, 2, 1, 2)"
14,False,0,"(1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 1)"
11,False,0,"(2, 1, 1, 1, 2, 2, 2, 2, 2, 1, 2)"
14,True,0,"(1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 2)"
11,False,0,"(1, 1, 1, 2, 2, 1, 2, 2, 2, 2, 1)"
8,False,0,"(1, 1, 1, 2, 2, 2, 1, 1)"
14,True,0,"(1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 2, 2, 2, 1)"
9,False,0,"(1, 1, 1, 2, 1, 2, 2, 2, 2)"
14,True,0,"(1, 1, 1, 1, 2, 2, 1, 2, 1, 2, 1, 2, 2, 2)"
14,True,0,"(1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2)"
8,False,3,"(1, 1, 2, 1, 2, 1, 2, 2)"
13,False,1,"(1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2)"
