fitness,finished,diversity,individual
17,False,28,"(1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2)"
12,False,37,"(2, 2, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1)"
12,False,44,"(2, 1, 2, 1, 2, 1, 1, 1, 2, 1, 2, 1)"
22,True,23,"(2, 2, 2, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 2, 1, 2, 1, 1, 1, 2)"
22,True,27,"(2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2)"
12,False,40,"(2, 2, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1)"
12,False,50,"(2, 1, 2, 1, 1, 2, 1, 1, 1, 2, 2, 2)"
22,True,31,"(1, 2, 2, 2, 1, 2, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2)"
22,True,33,"(2, 2, 1, 1, 1, 1, 2, 2, 1, 2, 2, 2, 2, 1, 1, 2, 2, 1, 1, 1, 1, 2)"
22,True,22,"(2, 1, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 2, 1, 2, 1, 1, 1, 2)"
22,True,25,"(2, 1, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1)"
22,True,31,"(2, 2, 1, 2, 1, 2, 1, 2, 2, 1, 2, 1, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1)"
12,False,45,"(2, 2, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1)"
12,False,45,"(2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 2, 2)"
20,False,35,"(1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 2)"
22,True,37,"(1, 2, 2, 2, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 1, 2)"
22,True,28,"(2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2)"
12,False,44,"(1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 2, 1)"
22,True,31,"(2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2)"
22,True,29,"(2, 1, 2, 2, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1)"
12,False,42,"(2, 2, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1)"
12,False,41,"(2, 1, 2, 1, 2, 1, 2, 1, 1, 1, 2, 1)"
12,False,40,"(2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1)"
12,False,40,"(2, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 2)"
14,False,32,"(2, 2, 1, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 1)"
22,True,33,"(2, 2, 2, 2, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 2, 2, 2, 1)"
22,True,31,"(2, 2, 1, 1, 2, 1, 1, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 2, 1, 2, 2)"
12,False,40,"(2, 1, 2, 2, 1, 1, 1, 1, 2, 1, 2, 2)"
22,True,17,"(2, 2, 1, 2, 1, 2, 1, 1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1)"
22,True,27,"(2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1)"
